,coefficient,p_value
loan_amnt,-0.609882000865,2.57177015796e-307
int_rate,-4.74713161232,0.0
annual_inc,0.922090644777,0.0
dti,-0.330223946002,0.0
revol_bal,0.00729594519232,0.120146970575
revol_util,-0.248596366964,0.0
total_acc,0.0653357234609,5.62371148599e-44
emp_title_0,0.00775598716161,0.700836997511
emp_title_1,-0.00775598716268,0.700836997472
emp_length_0,0.0359979470373,0.0334057474105
emp_length_1,0.0334848953057,0.0731574852182
emp_length_2,0.0245377710559,0.125539208305
emp_length_3,0.0198008859562,0.245973596999
emp_length_4,0.0893603252397,3.87464593183e-06
emp_length_5,0.0875717155361,1.9828567151e-06
emp_length_6,-0.0189114966782,0.337136602898
emp_length_7,-0.0348727197718,0.0818325765267
emp_length_8,-0.0439081773946,0.0423590946285
emp_length_9,-0.0592917853234,0.0128607922753
emp_length_10,-0.0407226120273,4.75185170147e-05
emp_length_11,-0.086905904883,0.000157523961019
home_ownership_1,-0.0136436202469,0.14020366709
home_ownership_2,0.575997813043,0.00648533272891
home_ownership_3,-0.0190322544058,0.24195477615
home_ownership_4,0.0189111265001,0.0436440470442
verification_status_0,0.0884007487521,4.13875956071e-19
verification_status_1,-0.0884007487524,4.1387595594e-19
issue_d_1,0.0121175613169,0.45778834158
issue_d_2,-0.059059114438,0.000845060312561
issue_d_3,-0.0132166125166,0.447115274119
issue_d_4,-0.0692539923163,2.1571243597e-05
issue_d_5,-0.0920875760622,2.06518244401e-08
issue_d_6,-0.0667905908798,7.77930880126e-05
issue_d_7,-0.0768940126394,4.52179410104e-07
issue_d_8,0.0614012043628,0.00028659069475
issue_d_9,0.11364171272,3.77384404667e-10
issue_d_10,-0.00675094222217,0.656744045589
issue_d_11,0.0661799542908,7.80986996673e-05
issue_d_12,0.186394247723,5.49033490841e-23
purpose_1,0.185710016604,7.9067035247e-06
purpose_2,-0.0103537786394,0.372471706453
purpose_3,-0.0574763198294,1.09188803953e-09
purpose_4,0.891793848918,8.94701575856e-07
purpose_5,0.0184957681386,0.348958135398
purpose_6,0.0444500927205,0.446677455373
purpose_7,0.115274540035,0.000194579444455
purpose_8,0.0844882726739,0.0599808480717
purpose_9,0.0694263741047,0.188840912228
purpose_10,0.0381575204275,0.0598169280958
purpose_11,0.088996190626,0.547128184776
purpose_12,0.12839496604,0.000287264718446
purpose_13,0.00119689906248,0.983729260997
purpose_14,0.380464031774,3.98576366113e-10
delinq_2yrs_0,0.0638978137867,2.11853764184e-07
delinq_2yrs_1,-0.0638978137865,2.11853764202e-07
inq_last_6mths_0,-0.0123040927678,0.183466035771
inq_last_6mths_1,-0.00934212585974,0.35972327603
inq_last_6mths_2,0.0396045175897,0.00348922447573
inq_last_6mths_3,0.0491203770781,0.0107187485804
inq_last_6mths_4,-0.127367545703,0.00058743254241
inq_last_6mths_5,-0.0658375373638,0.281283177871
inq_last_6mths_6,-0.0972830397225,0.301996143472
pub_rec_0,0.147980558371,1.17159450551e-27
pub_rec_1,-0.147980558371,1.1715945057e-27
initial_list_status_0,0.254609404676,6.55421229941e-145
initial_list_status_1,-0.254609404675,6.55421230002e-145
desc_0,-0.333973515343,2.61024258995e-236
desc_1,0.333973515343,2.61024259097e-236
